tradingsymbol,TYPE
SENSEX,INDICES
TELCOM,INDICES
NIFTY 50,INDICES
NIFTY 500,INDICES
NIFTY AUTO,INDICES
NIFTY BANK,INDICES
NIFTY COMMODITIES,INDICES
NIFTY CONSUMPTION,INDICES
NIFTY CPSE,INDICES
NIFTY ENERGY,INDICES
NIFTY FIN SERVICE,INDICES
NIFTY FMCG,INDICES
NIFTY INFRA,INDICES
NIFTY IT,INDICES
NIFTY MEDIA,INDICES
NIFTY METAL,INDICES
NIFTY MIDCAP 100,INDICES
NIFTY MIDCAP 50,INDICES
NIFTY MIDSML 400,INDICES
NIFTY NEXT 50,INDICES
NIFTY PHARMA,INDICES
NIFTY PSE,INDICES
NIFTY PSU BANK,INDICES
NIFTY PVT BANK,INDICES
NIFTY REALTY,INDICES
NIFTY SERV SECTOR,INDICES
NIFTY SMLCAP 50,INDICES
HDFCBANK,STOCK
ICICIBANK,STOCK
SBIN,STOCK
BAJFINANCE,STOCK
INFY,STOCK
TCS,STOCK
RELIANCE,STOCK
TATASTEEL,STOCK
BHARTIARTL,STOCK
TATAMOTORS,STOCK
LT,STOCK
ITC,STOCK
TITAN,STOCK
SUNPHARMA,STOCK
HDFC,STOCK
AXISBANK,STOCK
INDUSINDBK,STOCK
KOTAKBANK,STOCK
HCLTECH,STOCK
WIPRO,STOCK
ONGC,STOCK
BPCL,STOCK
NTPC,STOCK
POWERGRID,STOCK
COALINDIA,STOCK
JSWSTEEL,STOCK
MARUTI,STOCK
M&M,STOCK
HINDUNILVR,STOCK
MCDOWELL-N,STOCK
BANKBARODA,STOCK
FEDERALBNK,STOCK
